Path,English,Hindi,Chinese
draftphoto/58.jpeg,"Dr. Alex: I kept you in cupboard , how it this possible?","डॉ। एलेक्स: मैंने आपको अलमारी में रखा था, यह कैसे संभव है?",亚历克斯博士：我把你留在橱柜里，这怎么可能？
draftphoto/59.jpeg,R1-9: I’m from 5050,आर १-९: मैं ५०५० से हूं,R1-9：我来自5050
draftphoto/60.jpeg,Dr. Alex Looks at R1-9,डॉ। एलेक्स आर १-९ को देखता है,Alex博士看R1-9
draftphoto/61.jpeg,Dr. Alex: Why are you here?,डॉ। एलेक्स: आप यहाँ क्यों हैं?,亚历克斯博士：你为什么在这里？
draftphoto/62.jpeg,R1-9: Dr. Viktoria and Dr. Hailey are planning to manipulate the code,आर १-९: डॉ। विक्टोरिया और डॉ। हैली रोबोट के लिए कोड में हेरफेर करने की योजना बना रहे हैं और यह मानव दुनिया को नष्ट कर देगा,R1-9：Viktoria博士和Hailey博士计划操纵机器人的代码，这将破坏人类世界
draftphoto/63.jpeg,Dr. Alex: Don’t worry let me do something,डॉ। एलेक्स: चिंता मत करो मुझे कुछ करने दो,亚历克斯博士：别担心让我做点什么
draftphoto/64.jpeg,Dr. Alex: I’ll make 5050 a better world to live ,डॉ। एलेक्स: मैं जीने के लिए ५०५० एक बेहतर दुनिया बनाऊंगा,亚历克斯博士：我将使5050成为一个更好的世界
draftphoto/65.jpeg,Dr. Alex: We are safe now,डॉ। एलेक्स: हम अब सुरक्षित हैं,亚历克斯博士：我们现在很安全
draftphoto/66.jpeg,Dr. Alex: Lets go to my lab and catch Dr. Viktoria and Dr. Hailey ,डॉ। एलेक्स: चलो मेरी प्रयोगशाला में जाते हैं और डॉ। विक्टोरिया और डॉ। हैली को पकड़ते हैं,亚历克斯博士：让我们去我的实验室，抓住维克托里亚博士和海莉博士
draftphoto/67.jpeg,,,
draftphoto/68.jpeg,R1-9 from future and Dr.Alex spots them,भविष्य से आर १-९ और डॉ।एलेक्स ने उन्हें देखा,R1-9来自Future，Dr.Alex发现了他们
draftphoto/69.jpeg,,,
draftphoto/70.jpeg,Dr. Alex: R1-9 from future has told me everything you are planning,भविष्य से आर १-९ ने मुझे वह सब कुछ बताया है जो आप योजना बना रहे हैं  ,亚历克斯博士：未来的R1-9告诉我您打算做的一切
draftphoto/71.jpeg,"Dr. Alex: We know what you did, you will be punished","डॉ। एलेक्स: हम जानते हैं कि आपने क्या किया, आपको दंडित किया जाएगा",亚历克斯博士：我们知道你做了什么，你会受到惩罚
draftphoto/72.jpeg,Dr. Viktoria and Dr. Hailey gets arrested,डॉ। विक्टोरिया और डॉ। हैली को गिरफ्तार किया जाता है,维克托里亚博士和海莉博士被捕
draftphoto/73.jpeg,,,
draftphoto/74.jpeg,R1-9: I’m glad we saved the world,आर १-९: मुझे खुशी है कि हमने दुनिया को बचाया,R1-9：我很高兴我们拯救了世界
draftphoto/75.jpeg,R1-9: But I’m not able to understand how I did not malfunction,आर १-९: लेकिन मैं यह नहीं समझ पा रहा हूं कि मैं कैसे अलग था और अतीत में अन्य रोबोटों की तरह खराबी नहीं थी,R1-9：但是我无法理解我与众不同，并且没有像其他机器人那样故障
draftphoto/76.jpeg,Dr. Alex: I have an answer for that,डॉ। एलेक्स: मेरे पास इसके लिए एक जवाब है,亚历克斯博士：我有一个答案
draftphoto/77.jpeg,"Dr. Alex: For that we need to go at my lab, lets go","डॉ। एलेक्स: इसके लिए हमें अपनी प्रयोगशाला में जाने की जरूरत है, चलो",亚历克斯博士：为此，我们需要去我的实验室，放手
draftphoto/78.jpeg,,,
draftphoto/79.jpeg,,,
draftphoto/80.jpeg,Reaching at Dr Alex's Lab,डॉ। एलेक्स की प्रयोगशाला में पहुँचते है,到达亚历克斯博士的实验室
draftphoto/81.jpeg,,,
draftphoto/82.jpeg,,,
draftphoto/83.jpeg,,,
draftphoto/84.jpeg,Dr. Alex: You were safe in here ,आप यहाँ सुरक्षित थे,我制作的R1-9原型
draftphoto/85.jpeg,Even the code manipulation cannot hamper that,यहां तक ​​कि कोड हेरफेर भी इसमें बाधा नहीं डाल सकता,亚历克斯博士：您在这里很安全，即使是代码操纵也不能阻碍
draftphoto/86.jpeg,This is unbelievable ,यह अविश्वसनीय है,太不可思议了
draftphoto/87.jpeg,R1-9: How is this possible?,आर १-९: यह कैसे संभव है?,R1-9：这怎么可能？
draftphoto/88.jpeg,Dr. Alex: You were my first ever creation,"डॉ। एलेक्स: आप मेरी पहली रचना थीं, जिसे मैंने प्रस्तुत किया था, और यह मेरे बहुत करीब थी। मैंने इसे अपने पास रखने का फैसला किया; इसलिए, खराबी कोड ने आप पर काम नहीं किया।",亚历克斯博士：您是我有史以来的第一个创作，我与我非常接近。我决定与我保持联系；因此，故障代码对您无效。
draftphoto/89.jpeg,R1-9: I get it now,आर १-९: अब मुझे समझ आया,R1-9：我现在明白了
draftphoto/90.jpeg,R1-9: I think its my time to go back,आर १-९: मुझे लगता है कि अब वापस जाने का समय आ गया है,R1-9：我认为是我回去的时候
draftphoto/91.jpeg,See you Dr. Alex !,मिलते हैं डॉ। एलेक्स!,见亚历克斯博士！
draftphoto/92.jpeg,New 5050: Humans and Robot co-exist,नया ५०५०: मनुष्य और रोबोट सह-अस्तित्व में हैं,新5050：人类和机器人共存
